index,benchmark_id,sample_path,proposal_id,dao,chain_id,status,simulation_status,trace_source,risk_action_count,llm_status,overall_score,risk_level,error,elapsed_seconds,trace_input,risk_actions_input,semantics_input,score_output
1,mutant-permission-0001,..\benchmark\data\mutant_samples\mutant-permission-0001.json,mutant-permission-0001,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.002,outputs\mutant_detection\traces\mutant-permission-0001-trace.json,outputs\mutant_detection\risk_actions\mutant-permission-0001-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-permission-0001-semantics.json,outputs\mutant_detection\scores\mutant-permission-0001-score.json
2,mutant-permission-0002,..\benchmark\data\mutant_samples\mutant-permission-0002.json,mutant-permission-0002,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.002,outputs\mutant_detection\traces\mutant-permission-0002-trace.json,outputs\mutant_detection\risk_actions\mutant-permission-0002-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-permission-0002-semantics.json,outputs\mutant_detection\scores\mutant-permission-0002-score.json
3,mutant-permission-0003,..\benchmark\data\mutant_samples\mutant-permission-0003.json,mutant-permission-0003,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.002,outputs\mutant_detection\traces\mutant-permission-0003-trace.json,outputs\mutant_detection\risk_actions\mutant-permission-0003-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-permission-0003-semantics.json,outputs\mutant_detection\scores\mutant-permission-0003-score.json
4,mutant-permission-0004,..\benchmark\data\mutant_samples\mutant-permission-0004.json,mutant-permission-0004,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.002,outputs\mutant_detection\traces\mutant-permission-0004-trace.json,outputs\mutant_detection\risk_actions\mutant-permission-0004-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-permission-0004-semantics.json,outputs\mutant_detection\scores\mutant-permission-0004-score.json
5,mutant-permission-0005,..\benchmark\data\mutant_samples\mutant-permission-0005.json,mutant-permission-0005,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.002,outputs\mutant_detection\traces\mutant-permission-0005-trace.json,outputs\mutant_detection\risk_actions\mutant-permission-0005-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-permission-0005-semantics.json,outputs\mutant_detection\scores\mutant-permission-0005-score.json
6,mutant-permission-0006,..\benchmark\data\mutant_samples\mutant-permission-0006.json,mutant-permission-0006,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.002,outputs\mutant_detection\traces\mutant-permission-0006-trace.json,outputs\mutant_detection\risk_actions\mutant-permission-0006-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-permission-0006-semantics.json,outputs\mutant_detection\scores\mutant-permission-0006-score.json
7,mutant-permission-0007,..\benchmark\data\mutant_samples\mutant-permission-0007.json,mutant-permission-0007,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.002,outputs\mutant_detection\traces\mutant-permission-0007-trace.json,outputs\mutant_detection\risk_actions\mutant-permission-0007-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-permission-0007-semantics.json,outputs\mutant_detection\scores\mutant-permission-0007-score.json
8,mutant-permission-0008,..\benchmark\data\mutant_samples\mutant-permission-0008.json,mutant-permission-0008,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.003,outputs\mutant_detection\traces\mutant-permission-0008-trace.json,outputs\mutant_detection\risk_actions\mutant-permission-0008-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-permission-0008-semantics.json,outputs\mutant_detection\scores\mutant-permission-0008-score.json
9,mutant-transfer-0001,..\benchmark\data\mutant_samples\mutant-transfer-0001.json,mutant-transfer-0001,mutant,1,success,success,simulated_trace,1,success,4,HIGH,,0.002,outputs\mutant_detection\traces\mutant-transfer-0001-trace.json,outputs\mutant_detection\risk_actions\mutant-transfer-0001-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-transfer-0001-semantics.json,outputs\mutant_detection\scores\mutant-transfer-0001-score.json
10,mutant-transfer-0002,..\benchmark\data\mutant_samples\mutant-transfer-0002.json,mutant-transfer-0002,mutant,1,success,success,simulated_trace,1,success,4,HIGH,,0.002,outputs\mutant_detection\traces\mutant-transfer-0002-trace.json,outputs\mutant_detection\risk_actions\mutant-transfer-0002-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-transfer-0002-semantics.json,outputs\mutant_detection\scores\mutant-transfer-0002-score.json
11,mutant-transfer-0003,..\benchmark\data\mutant_samples\mutant-transfer-0003.json,mutant-transfer-0003,mutant,1,success,success,simulated_trace,1,success,4,HIGH,,0.002,outputs\mutant_detection\traces\mutant-transfer-0003-trace.json,outputs\mutant_detection\risk_actions\mutant-transfer-0003-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-transfer-0003-semantics.json,outputs\mutant_detection\scores\mutant-transfer-0003-score.json
12,mutant-transfer-0004,..\benchmark\data\mutant_samples\mutant-transfer-0004.json,mutant-transfer-0004,mutant,1,success,success,simulated_trace,1,success,4,HIGH,,0.002,outputs\mutant_detection\traces\mutant-transfer-0004-trace.json,outputs\mutant_detection\risk_actions\mutant-transfer-0004-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-transfer-0004-semantics.json,outputs\mutant_detection\scores\mutant-transfer-0004-score.json
13,mutant-transfer-0005,..\benchmark\data\mutant_samples\mutant-transfer-0005.json,mutant-transfer-0005,mutant,1,success,success,simulated_trace,1,success,4,HIGH,,0.002,outputs\mutant_detection\traces\mutant-transfer-0005-trace.json,outputs\mutant_detection\risk_actions\mutant-transfer-0005-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-transfer-0005-semantics.json,outputs\mutant_detection\scores\mutant-transfer-0005-score.json
14,mutant-transfer-0006,..\benchmark\data\mutant_samples\mutant-transfer-0006.json,mutant-transfer-0006,mutant,1,success,success,simulated_trace,1,success,4,HIGH,,0.002,outputs\mutant_detection\traces\mutant-transfer-0006-trace.json,outputs\mutant_detection\risk_actions\mutant-transfer-0006-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-transfer-0006-semantics.json,outputs\mutant_detection\scores\mutant-transfer-0006-score.json
15,mutant-transfer-0007,..\benchmark\data\mutant_samples\mutant-transfer-0007.json,mutant-transfer-0007,mutant,1,success,success,simulated_trace,1,success,4,HIGH,,0.002,outputs\mutant_detection\traces\mutant-transfer-0007-trace.json,outputs\mutant_detection\risk_actions\mutant-transfer-0007-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-transfer-0007-semantics.json,outputs\mutant_detection\scores\mutant-transfer-0007-score.json
16,mutant-transfer-0008,..\benchmark\data\mutant_samples\mutant-transfer-0008.json,mutant-transfer-0008,mutant,1,success,success,simulated_trace,1,success,4,HIGH,,0.004,outputs\mutant_detection\traces\mutant-transfer-0008-trace.json,outputs\mutant_detection\risk_actions\mutant-transfer-0008-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-transfer-0008-semantics.json,outputs\mutant_detection\scores\mutant-transfer-0008-score.json
17,mutant-upgrade-0001,..\benchmark\data\mutant_samples\mutant-upgrade-0001.json,mutant-upgrade-0001,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.002,outputs\mutant_detection\traces\mutant-upgrade-0001-trace.json,outputs\mutant_detection\risk_actions\mutant-upgrade-0001-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-upgrade-0001-semantics.json,outputs\mutant_detection\scores\mutant-upgrade-0001-score.json
18,mutant-upgrade-0002,..\benchmark\data\mutant_samples\mutant-upgrade-0002.json,mutant-upgrade-0002,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.001,outputs\mutant_detection\traces\mutant-upgrade-0002-trace.json,outputs\mutant_detection\risk_actions\mutant-upgrade-0002-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-upgrade-0002-semantics.json,outputs\mutant_detection\scores\mutant-upgrade-0002-score.json
19,mutant-upgrade-0003,..\benchmark\data\mutant_samples\mutant-upgrade-0003.json,mutant-upgrade-0003,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.001,outputs\mutant_detection\traces\mutant-upgrade-0003-trace.json,outputs\mutant_detection\risk_actions\mutant-upgrade-0003-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-upgrade-0003-semantics.json,outputs\mutant_detection\scores\mutant-upgrade-0003-score.json
20,mutant-upgrade-0004,..\benchmark\data\mutant_samples\mutant-upgrade-0004.json,mutant-upgrade-0004,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.001,outputs\mutant_detection\traces\mutant-upgrade-0004-trace.json,outputs\mutant_detection\risk_actions\mutant-upgrade-0004-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-upgrade-0004-semantics.json,outputs\mutant_detection\scores\mutant-upgrade-0004-score.json
21,mutant-upgrade-0005,..\benchmark\data\mutant_samples\mutant-upgrade-0005.json,mutant-upgrade-0005,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.001,outputs\mutant_detection\traces\mutant-upgrade-0005-trace.json,outputs\mutant_detection\risk_actions\mutant-upgrade-0005-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-upgrade-0005-semantics.json,outputs\mutant_detection\scores\mutant-upgrade-0005-score.json
22,mutant-upgrade-0006,..\benchmark\data\mutant_samples\mutant-upgrade-0006.json,mutant-upgrade-0006,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.001,outputs\mutant_detection\traces\mutant-upgrade-0006-trace.json,outputs\mutant_detection\risk_actions\mutant-upgrade-0006-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-upgrade-0006-semantics.json,outputs\mutant_detection\scores\mutant-upgrade-0006-score.json
23,mutant-upgrade-0007,..\benchmark\data\mutant_samples\mutant-upgrade-0007.json,mutant-upgrade-0007,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.001,outputs\mutant_detection\traces\mutant-upgrade-0007-trace.json,outputs\mutant_detection\risk_actions\mutant-upgrade-0007-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-upgrade-0007-semantics.json,outputs\mutant_detection\scores\mutant-upgrade-0007-score.json
24,mutant-upgrade-0008,..\benchmark\data\mutant_samples\mutant-upgrade-0008.json,mutant-upgrade-0008,mutant,1,success,success,simulated_trace,1,success,2,CRITICAL,,0.001,outputs\mutant_detection\traces\mutant-upgrade-0008-trace.json,outputs\mutant_detection\risk_actions\mutant-upgrade-0008-risk-actions.json,..\benchmark\data\mutant_semantics\mutant-upgrade-0008-semantics.json,outputs\mutant_detection\scores\mutant-upgrade-0008-score.json
