index,benchmark_id,sample_path,proposal_id,dao,chain_id,simulation_status,trace_source,call_count,max_depth,delegatecall_count,risk_action_count,raw_detected_count,filtered_count,deduplicated_count,risk_action_types,error,elapsed_seconds,trace_output,risk_actions_output
1,real-ens-0002,data\raw_samples\real-ens-0002.json,43203199770691383238593940280239053946984014979449022275641313046078578194694,ENS,1,success,simulated_trace,1,0,0,0,0,0,0,,,59.147,outputs\traces\real-ens-0002-trace.json,outputs\risk_actions\real-ens-0002-risk-actions.json
2,real-ens-0003,data\raw_samples\real-ens-0003.json,90476529665364161211265365238121921179703522228680648046371476645353679539653,ENS,1,success,simulated_trace,1,0,0,1,1,0,0,approval:1,,7.682,outputs\traces\real-ens-0003-trace.json,outputs\risk_actions\real-ens-0003-risk-actions.json
3,real-ens-0004,data\raw_samples\real-ens-0004.json,112764562576314516994943312429834673309292069549953740415731020720942627228986,ENS,1,success,simulated_trace,2,1,1,2,2,0,0,approval:1;delegatecall:1,,10.225,outputs\traces\real-ens-0004-trace.json,outputs\risk_actions\real-ens-0004-risk-actions.json
4,real-ens-0005,data\raw_samples\real-ens-0005.json,27850654116740852236526757351596115114486670304472932313768517382407193376455,ENS,1,reverted_with_trace,simulated_trace,5,1,2,2,4,0,2,delegatecall:1;transfer:1,,15.457,outputs\traces\real-ens-0005-trace.json,outputs\risk_actions\real-ens-0005-risk-actions.json
5,real-ens-0007,data\raw_samples\real-ens-0007.json,33504840096777976512510989921427323867039135570342563123194157971712476988820,ENS,1,success,simulated_trace,2,1,1,2,2,0,0,approval:1;delegatecall:1,,9.183,outputs\traces\real-ens-0007-trace.json,outputs\risk_actions\real-ens-0007-risk-actions.json
6,real-ens-0008,data\raw_samples\real-ens-0008.json,31309365093913580207991288430108338667724061355449265288906484597789511363394,ENS,1,success,simulated_trace,5,2,2,4,5,1,0,delegatecall:1;transfer:1;unknown:2,,9.513,outputs\traces\real-ens-0008-trace.json,outputs\risk_actions\real-ens-0008-risk-actions.json
7,real-ens-0010,data\raw_samples\real-ens-0010.json,40272043175867710511047990376059633000673751036364092383567949469124429500507,ENS,1,success,simulated_trace,2,0,0,0,0,0,0,,,11.823,outputs\traces\real-ens-0010-trace.json,outputs\risk_actions\real-ens-0010-risk-actions.json
8,real-ens-0011,data\raw_samples\real-ens-0011.json,107992041043258996427224563090014372885335179099580585497266204203463156791290,ENS,1,success,simulated_trace,171,6,47,55,171,1,115,approval:34;delegatecall:16;unknown:5,,114.265,outputs\traces\real-ens-0011-trace.json,outputs\risk_actions\real-ens-0011-risk-actions.json
9,real-ens-0012,data\raw_samples\real-ens-0012.json,13214174724111749338017943143826453367599509196993220699255450633508989705578,ENS,1,reverted_with_trace,simulated_trace,88,11,41,59,85,0,26,approval:3;delegatecall:27;transfer:2;unknown:27,,155.022,outputs\traces\real-ens-0012-trace.json,outputs\risk_actions\real-ens-0012-risk-actions.json
10,real-ens-0013,data\raw_samples\real-ens-0013.json,20404686300257550242704646761273386459664655640264490428281621095220078268383,ENS,1,reverted_with_trace,simulated_trace,15,4,7,12,14,0,2,approval:1;delegatecall:6;transfer:1;unknown:4,,22.798,outputs\traces\real-ens-0013-trace.json,outputs\risk_actions\real-ens-0013-risk-actions.json
11,real-ens-0014,data\raw_samples\real-ens-0014.json,31038548146097859834078018568437840147798885401616129864120868194533406456350,ENS,1,success,simulated_trace,8,1,0,0,0,0,0,,,10.674,outputs\traces\real-ens-0014-trace.json,outputs\risk_actions\real-ens-0014-risk-actions.json
12,real-ens-0016,data\raw_samples\real-ens-0016.json,28252712932062322633429808688780331957150867173093906455161078029287649387260,ENS,1,success,simulated_trace,13,1,0,1,2,0,1,unknown:1,,56.079,outputs\traces\real-ens-0016-trace.json,outputs\risk_actions\real-ens-0016-risk-actions.json
13,real-ens-0017,data\raw_samples\real-ens-0017.json,48262157524430528705514027771464261215955420389394621161356313649894506972547,ENS,1,success,simulated_trace,1,0,0,0,0,0,0,,,34.886,outputs\traces\real-ens-0017-trace.json,outputs\risk_actions\real-ens-0017-risk-actions.json
14,real-ens-0018,data\raw_samples\real-ens-0018.json,69304512515872868228453463730257567312488838925636819022683533220991373699419,ENS,1,reverted_with_trace,simulated_trace,5,1,0,0,0,0,0,,,72.123,outputs\traces\real-ens-0018-trace.json,outputs\risk_actions\real-ens-0018-risk-actions.json
15,real-ens-0019,data\raw_samples\real-ens-0019.json,43003012871521685709452092060115706577030630127946926655190871046443785691900,ENS,1,reverted_with_trace,simulated_trace,22,1,0,0,0,0,0,,,119.22,outputs\traces\real-ens-0019-trace.json,outputs\risk_actions\real-ens-0019-risk-actions.json
16,real-ens-0020,data\raw_samples\real-ens-0020.json,93339540979084434403669350155813124666788975924280943502320960019054315770244,ENS,1,success,simulated_trace,1,0,0,0,0,0,0,,,8.864,outputs\traces\real-ens-0020-trace.json,outputs\risk_actions\real-ens-0020-risk-actions.json
17,real-nouns-dao-0002,data\raw_samples\real-nouns-dao-0002.json,152,Nouns DAO,1,success,simulated_trace,5,1,2,5,5,0,0,delegatecall:2;transfer:1;unknown:1;upgrade:1,,7.809,outputs\traces\real-nouns-dao-0002-trace.json,outputs\risk_actions\real-nouns-dao-0002-risk-actions.json
18,real-nouns-dao-0003,data\raw_samples\real-nouns-dao-0003.json,57,Nouns DAO,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.358,outputs\traces\real-nouns-dao-0003-trace.json,outputs\risk_actions\real-nouns-dao-0003-risk-actions.json
19,real-nouns-dao-0004,data\raw_samples\real-nouns-dao-0004.json,173,Nouns DAO,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;transfer:1,,13.099,outputs\traces\real-nouns-dao-0004-trace.json,outputs\risk_actions\real-nouns-dao-0004-risk-actions.json
20,real-nouns-dao-0005,data\raw_samples\real-nouns-dao-0005.json,189,Nouns DAO,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;transfer:1,,7.567,outputs\traces\real-nouns-dao-0005-trace.json,outputs\risk_actions\real-nouns-dao-0005-risk-actions.json
21,real-nouns-dao-0006,data\raw_samples\real-nouns-dao-0006.json,223,Nouns DAO,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;transfer:1,,7.855,outputs\traces\real-nouns-dao-0006-trace.json,outputs\risk_actions\real-nouns-dao-0006-risk-actions.json
22,real-nouns-dao-0008,data\raw_samples\real-nouns-dao-0008.json,332,Nouns DAO,1,success,simulated_trace,4,2,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,10.399,outputs\traces\real-nouns-dao-0008-trace.json,outputs\risk_actions\real-nouns-dao-0008-risk-actions.json
23,real-nouns-dao-0009,data\raw_samples\real-nouns-dao-0009.json,585,Nouns DAO,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,11.451,outputs\traces\real-nouns-dao-0009-trace.json,outputs\risk_actions\real-nouns-dao-0009-risk-actions.json
24,real-nouns-dao-0012,data\raw_samples\real-nouns-dao-0012.json,455,Nouns DAO,1,success,simulated_trace,6,2,2,5,5,0,0,delegatecall:2;transfer:2;unknown:1,,9.128,outputs\traces\real-nouns-dao-0012-trace.json,outputs\risk_actions\real-nouns-dao-0012-risk-actions.json
25,real-nouns-dao-0013,data\raw_samples\real-nouns-dao-0013.json,763,Nouns DAO,1,success,simulated_trace,5,2,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,16.068,outputs\traces\real-nouns-dao-0013-trace.json,outputs\risk_actions\real-nouns-dao-0013-risk-actions.json
26,real-nouns-dao-0015,data\raw_samples\real-nouns-dao-0015.json,676,Nouns DAO,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.737,outputs\traces\real-nouns-dao-0015-trace.json,outputs\risk_actions\real-nouns-dao-0015-risk-actions.json
27,real-nouns-dao-0016,data\raw_samples\real-nouns-dao-0016.json,795,Nouns DAO,1,success,simulated_trace,15,2,5,7,11,0,4,delegatecall:3;transfer:1;unknown:3,,16.803,outputs\traces\real-nouns-dao-0016-trace.json,outputs\risk_actions\real-nouns-dao-0016-risk-actions.json
28,real-nouns-dao-0017,data\raw_samples\real-nouns-dao-0017.json,743,Nouns DAO,1,success,simulated_trace,3,2,1,2,2,0,0,delegatecall:1;unknown:1,,6.008,outputs\traces\real-nouns-dao-0017-trace.json,outputs\risk_actions\real-nouns-dao-0017-risk-actions.json
29,real-nouns-dao-0018,data\raw_samples\real-nouns-dao-0018.json,773,Nouns DAO,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.427,outputs\traces\real-nouns-dao-0018-trace.json,outputs\risk_actions\real-nouns-dao-0018-risk-actions.json
30,real-nouns-dao-0019,data\raw_samples\real-nouns-dao-0019.json,823,Nouns DAO,1,success,simulated_trace,5,2,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,8.691,outputs\traces\real-nouns-dao-0019-trace.json,outputs\risk_actions\real-nouns-dao-0019-risk-actions.json
31,real-nouns-dao-0020,data\raw_samples\real-nouns-dao-0020.json,903,Nouns DAO,1,success,simulated_trace,5,2,2,4,4,0,0,delegatecall:2;transfer:1;unknown:1,,8.646,outputs\traces\real-nouns-dao-0020-trace.json,outputs\risk_actions\real-nouns-dao-0020-risk-actions.json
32,real-uniswap-0001,data\raw_samples\real-uniswap-0001.json,14,Uniswap,1,success,simulated_trace,2,1,0,2,2,0,0,bridge:1;unknown:1,,6.614,outputs\traces\real-uniswap-0001-trace.json,outputs\risk_actions\real-uniswap-0001-risk-actions.json
33,real-uniswap-0002,data\raw_samples\real-uniswap-0002.json,31,Uniswap,1,success,simulated_trace,2,1,0,0,0,0,0,,,14.121,outputs\traces\real-uniswap-0002-trace.json,outputs\risk_actions\real-uniswap-0002-risk-actions.json
34,real-uniswap-0003,data\raw_samples\real-uniswap-0003.json,34,Uniswap,1,success,simulated_trace,1,0,0,0,0,0,0,,,11.596,outputs\traces\real-uniswap-0003-trace.json,outputs\risk_actions\real-uniswap-0003-risk-actions.json
35,real-uniswap-0005,data\raw_samples\real-uniswap-0005.json,26,Uniswap,1,reverted_with_trace,simulated_trace,2,1,1,1,1,0,0,delegatecall:1,,7.917,outputs\traces\real-uniswap-0005-trace.json,outputs\risk_actions\real-uniswap-0005-risk-actions.json
36,real-uniswap-0006,data\raw_samples\real-uniswap-0006.json,27,Uniswap,1,reverted_with_trace,simulated_trace,2,1,1,1,1,0,0,delegatecall:1,,6.251,outputs\traces\real-uniswap-0006-trace.json,outputs\risk_actions\real-uniswap-0006-risk-actions.json
37,real-uniswap-0009,data\raw_samples\real-uniswap-0009.json,47,Uniswap,1,success,simulated_trace,8,3,4,4,8,0,4,delegatecall:2;transfer:2,,10.237,outputs\traces\real-uniswap-0009-trace.json,outputs\risk_actions\real-uniswap-0009-risk-actions.json
38,real-uniswap-0010,data\raw_samples\real-uniswap-0010.json,42,Uniswap,1,success,simulated_trace,2,1,0,0,0,0,0,,,7.943,outputs\traces\real-uniswap-0010-trace.json,outputs\risk_actions\real-uniswap-0010-risk-actions.json
39,real-uniswap-0011,data\raw_samples\real-uniswap-0011.json,55,Uniswap,1,success,simulated_trace,2,1,1,2,2,0,0,delegatecall:1;unknown:1,,11.322,outputs\traces\real-uniswap-0011-trace.json,outputs\risk_actions\real-uniswap-0011-risk-actions.json
40,real-uniswap-0012,data\raw_samples\real-uniswap-0012.json,53,Uniswap,1,success,simulated_trace,9,1,0,2,8,0,6,approval:1;transfer:1,,17.872,outputs\traces\real-uniswap-0012-trace.json,outputs\risk_actions\real-uniswap-0012-risk-actions.json
41,real-uniswap-0013,data\raw_samples\real-uniswap-0013.json,70,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,5.207,outputs\traces\real-uniswap-0013-trace.json,outputs\risk_actions\real-uniswap-0013-risk-actions.json
42,real-uniswap-0014,data\raw_samples\real-uniswap-0014.json,86,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,5.638,outputs\traces\real-uniswap-0014-trace.json,outputs\risk_actions\real-uniswap-0014-risk-actions.json
43,real-uniswap-0015,data\raw_samples\real-uniswap-0015.json,80,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.17,outputs\traces\real-uniswap-0015-trace.json,outputs\risk_actions\real-uniswap-0015-risk-actions.json
44,real-uniswap-0016,data\raw_samples\real-uniswap-0016.json,68,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.971,outputs\traces\real-uniswap-0016-trace.json,outputs\risk_actions\real-uniswap-0016-risk-actions.json
45,real-uniswap-0017,data\raw_samples\real-uniswap-0017.json,78,Uniswap,1,success,simulated_trace,2,1,0,0,0,0,0,,,30.538,outputs\traces\real-uniswap-0017-trace.json,outputs\risk_actions\real-uniswap-0017-risk-actions.json
46,real-uniswap-0018,data\raw_samples\real-uniswap-0018.json,94,Uniswap,1,success,simulated_trace,59,5,26,28,58,0,30,bridge:1;delegatecall:12;permission_change:1;transfer:2;unknown:12,,20.727,outputs\traces\real-uniswap-0018-trace.json,outputs\risk_actions\real-uniswap-0018-risk-actions.json
47,real-uniswap-0019,data\raw_samples\real-uniswap-0019.json,71,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.22,outputs\traces\real-uniswap-0019-trace.json,outputs\risk_actions\real-uniswap-0019-risk-actions.json
48,real-uniswap-0020,data\raw_samples\real-uniswap-0020.json,75,Uniswap,1,success,simulated_trace,1,0,0,1,1,0,0,transfer:1,,6.541,outputs\traces\real-uniswap-0020-trace.json,outputs\risk_actions\real-uniswap-0020-risk-actions.json
